Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,Stint,PitInTime_s,PitOutTime_s,Position,TrackStatus,IsAccurate,FreshTyre,FuelLoad_kg,FuelCorrection_s,SpeedI1,SpeedI2,SpeedFL,SpeedST
Bahrain,2023,VER,Red Bull Racing,48.0,96.918,31.01,42.199,23.709,HARD,12.0,3.0,,,1.0,1,True,True,33.2,0.996,236.0,239.0,284.0,294.0
Bahrain,2023,VER,Red Bull Racing,49.0,96.962,31.124,42.026,23.812,HARD,13.0,3.0,,,1.0,1,True,True,31.6,0.948,234.0,239.0,279.0,299.0
Bahrain,2023,VER,Red Bull Racing,50.0,97.25,31.07,42.375,23.805,HARD,14.0,3.0,,,1.0,1,True,True,30.0,0.9,234.0,238.0,281.0,296.0
Bahrain,2023,VER,Red Bull Racing,51.0,97.427,31.154,42.202,24.071,HARD,15.0,3.0,,,1.0,1,True,True,28.4,0.852,233.0,241.0,279.0,295.0
Bahrain,2023,VER,Red Bull Racing,52.0,96.919,31.033,42.133,23.753,HARD,16.0,3.0,,,1.0,1,True,True,26.8,0.804,235.0,241.0,280.0,297.0
Bahrain,2023,VER,Red Bull Racing,53.0,96.89,30.906,42.217,23.767,HARD,17.0,3.0,,,1.0,1,True,True,25.2,0.756,228.0,240.0,280.0,293.0
Bahrain,2023,VER,Red Bull Racing,54.0,96.678,30.988,41.938,23.752,HARD,18.0,3.0,,,1.0,1,True,True,23.6,0.708,235.0,245.0,280.0,297.0
Bahrain,2023,VER,Red Bull Racing,55.0,96.322,30.964,41.747,23.611,HARD,19.0,3.0,,,1.0,1,True,True,22.0,0.66,234.0,247.0,282.0,295.0
Bahrain,2023,VER,Red Bull Racing,56.0,97.205,31.091,42.27,23.844,HARD,20.0,3.0,,,1.0,1,True,True,20.4,0.612,233.0,238.0,282.0,294.0
Bahrain,2023,VER,Red Bull Racing,57.0,96.373,30.96,41.763,23.65,HARD,21.0,3.0,,,1.0,1,True,True,18.8,0.564,235.0,262.0,253.0,295.0
Bahrain,2023,GAS,Alpine,1.0,109.649,,46.78,25.135,SOFT,1.0,1.0,,,19.0,12,False,True,108.4,3.252,214.0,234.0,281.0,271.0
Bahrain,2023,GAS,Alpine,2.0,100.438,31.738,43.938,24.762,SOFT,2.0,1.0,,,18.0,21,True,True,106.8,3.204,226.0,237.0,280.0,298.0
Bahrain,2023,GAS,Alpine,3.0,100.643,31.8,44.083,24.76,SOFT,3.0,1.0,,,18.0,1,True,True,105.2,3.156,225.0,237.0,286.0,285.0
Bahrain,2023,GAS,Alpine,4.0,100.894,31.514,44.492,24.888,SOFT,4.0,1.0,,,18.0,1,True,True,103.6,3.108,223.0,237.0,284.0,311.0
Bahrain,2023,GAS,Alpine,5.0,100.818,31.705,44.192,24.921,SOFT,5.0,1.0,,,18.0,1,True,True,102.0,3.06,223.0,241.0,285.0,299.0
Bahrain,2023,GAS,Alpine,6.0,101.11,31.573,44.534,25.003,SOFT,6.0,1.0,,,18.0,1,True,True,100.4,3.012,225.0,242.0,284.0,313.0
Bahrain,2023,GAS,Alpine,7.0,101.134,31.604,44.49,25.04,SOFT,7.0,1.0,,,18.0,1,True,True,98.8,2.964,225.0,241.0,285.0,308.0
Bahrain,2023,GAS,Alpine,8.0,101.173,31.773,44.275,25.125,SOFT,8.0,1.0,,,18.0,1,True,True,97.2,2.916,225.0,239.0,285.0,305.0
Bahrain,2023,GAS,Alpine,9.0,104.201,31.843,44.538,27.82,SOFT,9.0,1.0,4675.198,,19.0,1,False,True,95.6,2.868,226.0,233.0,,303.0
Bahrain,2023,GAS,Alpine,10.0,121.262,54.574,42.66,24.028,HARD,1.0,2.0,,4701.104,20.0,1,False,True,94.0,2.82,227.0,245.0,278.0,215.0
Bahrain,2023,GAS,Alpine,11.0,98.762,31.455,43.098,24.209,HARD,2.0,2.0,,,19.0,1,True,True,92.4,2.772,227.0,243.0,280.0,294.0
Bahrain,2023,GAS,Alpine,12.0,98.928,31.57,43.066,24.292,HARD,3.0,2.0,,,17.0,1,True,True,90.8,2.724,227.0,242.0,279.0,288.0
Bahrain,2023,GAS,Alpine,13.0,99.349,31.744,43.26,24.345,HARD,4.0,2.0,,,14.0,1,True,True,89.2,2.676,227.0,248.0,280.0,296.0
Bahrain,2023,GAS,Alpine,14.0,98.859,31.518,43.043,24.298,HARD,5.0,2.0,,,14.0,1,True,True,87.6,2.628,227.0,246.0,280.0,303.0
Bahrain,2023,GAS,Alpine,15.0,98.985,31.398,43.252,24.335,HARD,6.0,2.0,,,14.0,1,True,True,86.0,2.58,227.0,247.0,280.0,302.0
Bahrain,2023,GAS,Alpine,16.0,98.945,31.514,43.137,24.294,HARD,7.0,2.0,,,12.0,1,True,True,84.4,2.532,226.0,246.0,280.0,302.0
Bahrain,2023,GAS,Alpine,17.0,99.011,31.527,43.151,24.333,HARD,8.0,2.0,,,12.0,1,True,True,82.8,2.484,227.0,247.0,280.0,301.0
Bahrain,2023,GAS,Alpine,18.0,99.029,31.515,43.068,24.446,HARD,9.0,2.0,,,12.0,1,True,True,81.2,2.436,225.0,244.0,279.0,300.0
Bahrain,2023,GAS,Alpine,19.0,99.066,31.571,43.098,24.397,HARD,10.0,2.0,,,12.0,1,True,True,79.6,2.388,225.0,244.0,280.0,299.0
Bahrain,2023,GAS,Alpine,20.0,99.017,31.481,43.179,24.357,HARD,11.0,2.0,,,12.0,1,True,True,78.0,2.34,225.0,248.0,279.0,301.0
Bahrain,2023,GAS,Alpine,21.0,99.327,31.671,43.328,24.328,HARD,12.0,2.0,,,12.0,1,True,True,76.4,2.292,225.0,247.0,280.0,300.0
Bahrain,2023,GAS,Alpine,22.0,99.485,31.609,43.483,24.393,HARD,13.0,2.0,,,12.0,1,True,True,74.8,2.244,224.0,245.0,280.0,302.0
Bahrain,2023,GAS,Alpine,23.0,99.263,31.538,43.32,24.405,HARD,14.0,2.0,,,12.0,1,True,True,73.2,2.196,225.0,246.0,281.0,302.0
Bahrain,2023,GAS,Alpine,24.0,99.761,31.721,43.505,24.535,HARD,15.0,2.0,,,12.0,1,True,True,71.6,2.148,225.0,247.0,281.0,302.0
Bahrain,2023,GAS,Alpine,25.0,102.288,31.613,43.531,27.144,HARD,16.0,2.0,6286.559,,12.0,1,False,True,70.0,2.1,226.0,251.0,,303.0
Bahrain,2023,GAS,Alpine,26.0,119.404,53.105,42.4,23.899,HARD,1.0,3.0,,6311.481,17.0,1,False,True,68.4,2.052,228.0,250.0,280.0,215.0
Bahrain,2023,GAS,Alpine,27.0,98.729,31.836,42.851,24.042,HARD,2.0,3.0,,,15.0,1,True,True,66.8,2.004,227.0,251.0,286.0,297.0
Bahrain,2023,GAS,Alpine,28.0,97.761,31.006,42.656,24.099,HARD,3.0,3.0,,,14.0,1,True,True,65.2,1.956,226.0,250.0,281.0,317.0
Bahrain,2023,GAS,Alpine,29.0,98.012,31.178,42.696,24.138,HARD,4.0,3.0,,,14.0,1,True,True,63.6,1.908,227.0,253.0,286.0,302.0
Bahrain,2023,GAS,Alpine,30.0,97.76,30.885,42.716,24.159,HARD,5.0,3.0,,,13.0,1,True,True,62.0,1.86,226.0,252.0,287.0,319.0
Bahrain,2023,GAS,Alpine,31.0,97.968,30.971,42.877,24.12,HARD,6.0,3.0,,,12.0,1,True,True,60.4,1.812,229.0,253.0,287.0,320.0
Bahrain,2023,GAS,Alpine,32.0,98.012,30.969,42.824,24.219,HARD,7.0,3.0,,,12.0,1,True,True,58.8,1.764,227.0,253.0,286.0,320.0
Bahrain,2023,GAS,Alpine,33.0,97.974,30.942,42.828,24.204,HARD,8.0,3.0,,,11.0,1,True,True,57.2,1.716,228.0,252.0,287.0,320.0
Bahrain,2023,GAS,Alpine,34.0,98.022,30.947,42.874,24.201,HARD,9.0,3.0,,,11.0,1,True,True,55.6,1.668,230.0,255.0,286.0,321.0
Bahrain,2023,GAS,Alpine,35.0,98.088,31.01,42.851,24.227,HARD,10.0,3.0,,,11.0,1,True,True,54.0,1.62,229.0,253.0,286.0,320.0
Bahrain,2023,GAS,Alpine,36.0,98.184,31.045,42.821,24.318,HARD,11.0,3.0,,,11.0,1,True,True,52.4,1.572,228.0,252.0,286.0,318.0
Bahrain,2023,GAS,Alpine,37.0,98.133,31.117,42.864,24.152,HARD,12.0,3.0,,,11.0,1,True,True,50.8,1.524,227.0,252.0,286.0,318.0
Bahrain,2023,GAS,Alpine,38.0,98.108,31.025,42.822,24.261,HARD,13.0,3.0,,,11.0,1,True,True,49.2,1.476,227.0,253.0,286.0,317.0
