Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,SpeedI1,SpeedI2,SpeedFL,SpeedST,ThrottleStd,LapConsistency_5
Bahrain,2023,BOT,Alfa Romeo,8.0,100.387,31.864,43.791,24.732,SOFT,8.0,228.0,239.0,276.0,293.0,43.042,0.441
Bahrain,2023,BOT,Alfa Romeo,9.0,100.275,31.936,43.661,24.678,SOFT,9.0,228.0,238.0,276.0,293.0,43.194,0.3189
Bahrain,2023,BOT,Alfa Romeo,10.0,100.676,31.929,43.981,24.766,SOFT,10.0,227.0,238.0,276.0,292.0,43.378,0.1813
Bahrain,2023,BOT,Alfa Romeo,13.0,98.03,31.273,42.523,24.234,HARD,2.0,227.0,252.0,286.0,285.0,42.355,1.1046
Bahrain,2023,BOT,Alfa Romeo,14.0,98.098,31.122,42.799,24.177,HARD,3.0,226.0,244.0,277.0,320.0,41.761,1.3131
Bahrain,2023,BOT,Alfa Romeo,15.0,98.851,31.469,43.076,24.306,HARD,4.0,226.0,244.0,277.0,290.0,42.188,1.2287
Bahrain,2023,BOT,Alfa Romeo,16.0,98.494,31.299,43.018,24.177,HARD,5.0,227.0,244.0,276.0,291.0,42.006,1.0836
Bahrain,2023,BOT,Alfa Romeo,17.0,99.973,32.034,43.463,24.476,HARD,6.0,229.0,246.0,283.0,296.0,42.213,0.79
Bahrain,2023,BOT,Alfa Romeo,18.0,100.24,31.682,43.946,24.612,HARD,7.0,227.0,245.0,277.0,310.0,43.024,0.9341
Bahrain,2023,BOT,Alfa Romeo,19.0,99.497,31.65,43.373,24.474,HARD,8.0,225.0,244.0,277.0,294.0,42.498,0.7357
Bahrain,2023,BOT,Alfa Romeo,20.0,100.442,31.91,43.979,24.553,HARD,9.0,232.0,245.0,278.0,296.0,43.444,0.7759
Bahrain,2023,BOT,Alfa Romeo,21.0,99.355,31.577,43.366,24.412,HARD,10.0,228.0,244.0,277.0,295.0,43.093,0.4675
Bahrain,2023,BOT,Alfa Romeo,22.0,99.356,31.591,43.332,24.433,HARD,11.0,229.0,244.0,277.0,292.0,42.875,0.5221
Bahrain,2023,BOT,Alfa Romeo,23.0,99.311,31.711,43.197,24.403,HARD,12.0,228.0,243.0,277.0,293.0,42.715,0.4802
Bahrain,2023,BOT,Alfa Romeo,24.0,99.427,31.731,43.277,24.419,HARD,13.0,228.0,243.0,277.0,294.0,42.729,0.4847
Bahrain,2023,BOT,Alfa Romeo,25.0,99.49,31.785,43.253,24.452,HARD,14.0,228.0,244.0,277.0,291.0,42.968,0.0707
Bahrain,2023,BOT,Alfa Romeo,26.0,99.5,31.813,43.256,24.431,HARD,15.0,228.0,243.0,277.0,291.0,43.363,0.0826
Bahrain,2023,BOT,Alfa Romeo,27.0,99.287,31.712,43.177,24.398,HARD,16.0,229.0,243.0,277.0,290.0,43.186,0.0993
Bahrain,2023,BOT,Alfa Romeo,28.0,99.016,31.753,42.963,24.3,HARD,17.0,229.0,244.0,277.0,292.0,42.646,0.2021
Bahrain,2023,BOT,Alfa Romeo,31.0,97.379,31.079,42.337,23.963,HARD,2.0,232.0,250.0,279.0,294.0,42.965,0.8915
Bahrain,2023,BOT,Alfa Romeo,32.0,97.675,31.059,42.59,24.026,HARD,3.0,231.0,245.0,278.0,292.0,43.297,0.9743
Bahrain,2023,BOT,Alfa Romeo,33.0,97.775,31.243,42.542,23.99,HARD,4.0,230.0,244.0,278.0,289.0,43.184,0.8623
Bahrain,2023,BOT,Alfa Romeo,34.0,97.774,31.317,42.525,23.932,HARD,5.0,230.0,244.0,278.0,288.0,43.132,0.6317
