Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,SpeedI1,SpeedI2,SpeedFL,SpeedST,ThrottleStd,LapConsistency_5
Singapore,2023,ALO,Aston Martin,48.0,99.79,29.735,42.141,27.914,SOFT,6.0,282.0,262.0,245.0,269.0,42.685,6.5346
Singapore,2023,ALO,Aston Martin,49.0,98.787,28.927,42.297,27.563,SOFT,7.0,283.0,266.0,249.0,287.0,42.891,6.6591
Singapore,2023,ALO,Aston Martin,50.0,98.088,28.718,41.874,27.496,SOFT,8.0,285.0,264.0,248.0,288.0,43.071,6.8405
Singapore,2023,ALO,Aston Martin,51.0,98.463,28.927,42.083,27.453,SOFT,9.0,281.0,262.0,249.0,288.0,43.422,1.2173
Singapore,2023,ALO,Aston Martin,52.0,97.943,28.702,41.693,27.548,SOFT,10.0,283.0,258.0,249.0,288.0,43.308,0.7353
Singapore,2023,ALO,Aston Martin,53.0,98.559,28.742,42.195,27.622,SOFT,11.0,291.0,267.0,250.0,289.0,43.036,0.3464
Singapore,2023,ALO,Aston Martin,54.0,98.179,28.741,41.928,27.51,SOFT,12.0,281.0,262.0,248.0,286.0,42.918,0.258
Singapore,2023,ALO,Aston Martin,55.0,98.012,28.772,41.762,27.478,SOFT,13.0,288.0,261.0,250.0,285.0,43.43,0.2716
Singapore,2023,ALO,Aston Martin,56.0,98.436,28.819,42.129,27.488,SOFT,14.0,283.0,262.0,249.0,287.0,43.122,0.266
Singapore,2023,ALO,Aston Martin,57.0,98.303,28.695,42.204,27.404,SOFT,15.0,293.0,266.0,248.0,289.0,42.985,0.214
Singapore,2023,ALO,Aston Martin,58.0,98.941,28.508,43.163,27.27,SOFT,16.0,295.0,269.0,250.0,290.0,42.776,0.3534
Singapore,2023,ALO,Aston Martin,59.0,98.518,28.739,42.24,27.539,SOFT,17.0,298.0,269.0,249.0,290.0,42.596,0.3388
Singapore,2023,ALO,Aston Martin,60.0,98.728,28.831,42.225,27.672,SOFT,18.0,299.0,269.0,251.0,290.0,42.238,0.2517
Singapore,2023,ALO,Aston Martin,61.0,101.542,28.815,43.287,29.44,SOFT,19.0,312.0,278.0,243.0,302.0,42.091,1.3271
Singapore,2023,ALO,Aston Martin,62.0,104.29,29.189,45.407,29.694,SOFT,20.0,303.0,280.0,235.0,303.0,41.408,2.4951
Singapore,2023,BOT,Alfa Romeo,2.0,102.182,29.788,43.493,28.901,HARD,2.0,288.0,258.0,240.0,278.0,43.087,
Singapore,2023,BOT,Alfa Romeo,3.0,103.036,30.254,43.674,29.108,HARD,3.0,287.0,257.0,238.0,277.0,43.221,
Singapore,2023,BOT,Alfa Romeo,4.0,101.766,29.856,43.382,28.528,HARD,4.0,285.0,255.0,240.0,275.0,43.269,0.6475
Singapore,2023,BOT,Alfa Romeo,5.0,101.757,29.824,43.296,28.637,HARD,5.0,284.0,255.0,238.0,275.0,43.179,0.6008
Singapore,2023,BOT,Alfa Romeo,6.0,101.27,29.491,43.291,28.488,HARD,6.0,289.0,260.0,238.0,279.0,43.166,0.662
Singapore,2023,BOT,Alfa Romeo,7.0,102.397,29.97,43.671,28.756,HARD,7.0,286.0,256.0,238.0,277.0,43.433,0.6833
Singapore,2023,BOT,Alfa Romeo,8.0,102.153,29.892,43.685,28.576,HARD,8.0,286.0,256.0,240.0,277.0,43.727,0.4305
Singapore,2023,BOT,Alfa Romeo,9.0,101.303,29.627,43.201,28.475,HARD,9.0,285.0,257.0,239.0,277.0,43.329,0.502
Singapore,2023,BOT,Alfa Romeo,10.0,101.23,29.545,43.298,28.387,HARD,10.0,286.0,256.0,240.0,276.0,43.289,0.559
Singapore,2023,BOT,Alfa Romeo,11.0,101.376,29.755,43.166,28.455,HARD,11.0,287.0,256.0,241.0,278.0,43.608,0.5418
Singapore,2023,BOT,Alfa Romeo,12.0,101.063,29.576,43.178,28.309,HARD,12.0,286.0,257.0,240.0,278.0,43.322,0.4232
Singapore,2023,BOT,Alfa Romeo,13.0,101.194,29.646,43.251,28.297,HARD,13.0,285.0,255.0,241.0,276.0,43.035,0.1181
Singapore,2023,BOT,Alfa Romeo,14.0,100.955,29.642,42.952,28.361,HARD,14.0,287.0,257.0,240.0,278.0,43.623,0.1613
Singapore,2023,BOT,Alfa Romeo,15.0,100.793,29.546,42.96,28.287,HARD,15.0,285.0,256.0,240.0,277.0,43.42,0.2229
Singapore,2023,BOT,Alfa Romeo,16.0,100.925,29.661,43.053,28.211,HARD,16.0,284.0,255.0,241.0,276.0,43.15,0.1509
Singapore,2023,BOT,Alfa Romeo,17.0,100.809,29.56,43.086,28.163,HARD,17.0,285.0,256.0,243.0,276.0,42.724,0.161
Singapore,2023,BOT,Alfa Romeo,18.0,100.904,29.402,43.214,28.288,HARD,18.0,286.0,257.0,242.0,278.0,43.468,0.0721
Singapore,2023,BOT,Alfa Romeo,19.0,101.786,29.533,43.964,28.289,HARD,19.0,286.0,256.0,242.0,277.0,43.22,0.4191
Singapore,2023,BOT,Alfa Romeo,23.0,105.486,29.593,44.546,31.347,HARD,23.0,293.0,264.0,230.0,283.0,42.575,1.9982
Singapore,2023,BOT,Alfa Romeo,24.0,106.415,31.828,45.915,28.672,HARD,24.0,295.0,259.0,241.0,277.0,42.538,2.6682
Singapore,2023,BOT,Alfa Romeo,25.0,101.759,29.751,43.469,28.539,HARD,25.0,290.0,259.0,240.0,279.0,43.127,2.4942
Singapore,2023,BOT,Alfa Romeo,26.0,101.366,29.44,43.568,28.358,HARD,26.0,288.0,259.0,242.0,278.0,43.094,2.3911
Singapore,2023,BOT,Alfa Romeo,27.0,101.288,29.525,43.49,28.273,HARD,27.0,288.0,258.0,243.0,279.0,43.098,2.4818
Singapore,2023,BOT,Alfa Romeo,28.0,101.288,29.457,43.497,28.334,HARD,28.0,287.0,258.0,242.0,278.0,42.857,2.24
Singapore,2023,BOT,Alfa Romeo,29.0,101.478,29.514,43.572,28.392,HARD,29.0,288.0,257.0,241.0,278.0,43.499,0.1967
Singapore,2023,BOT,Alfa Romeo,30.0,101.369,29.466,43.576,28.327,HARD,30.0,288.0,258.0,240.0,278.0,43.135,0.0781
Singapore,2023,BOT,Alfa Romeo,31.0,100.907,29.465,43.15,28.292,HARD,31.0,288.0,258.0,240.0,277.0,43.159,0.2153
Singapore,2023,BOT,Alfa Romeo,32.0,101.162,29.451,43.474,28.237,HARD,32.0,287.0,257.0,242.0,278.0,42.887,0.2194
Singapore,2023,BOT,Alfa Romeo,33.0,101.06,29.334,43.383,28.343,HARD,33.0,287.0,257.0,240.0,279.0,42.942,0.2306
Singapore,2023,BOT,Alfa Romeo,34.0,101.088,29.436,43.271,28.381,HARD,34.0,287.0,258.0,243.0,278.0,42.586,0.1686
Singapore,2023,BOT,Alfa Romeo,35.0,100.808,29.311,43.303,28.194,HARD,35.0,289.0,260.0,241.0,281.0,42.841,0.144
Singapore,2023,BOT,Alfa Romeo,36.0,101.628,29.393,43.56,28.675,HARD,36.0,287.0,260.0,240.0,280.0,43.211,0.299
Singapore,2023,BOT,Alfa Romeo,37.0,102.375,29.617,44.278,28.48,HARD,37.0,288.0,258.0,240.0,280.0,42.673,0.6256
Singapore,2023,BOT,Alfa Romeo,38.0,102.282,29.63,43.958,28.694,HARD,38.0,287.0,259.0,239.0,280.0,42.785,0.6981
Singapore,2023,BOT,Alfa Romeo,39.0,102.059,29.425,43.945,28.689,HARD,39.0,288.0,258.0,237.0,279.0,42.423,0.6401
Singapore,2023,BOT,Alfa Romeo,42.0,98.392,28.862,41.764,27.766,MEDIUM,2.0,282.0,257.0,246.0,277.0,43.426,1.677
Singapore,2023,BOT,Alfa Romeo,45.0,99.08,29.11,42.28,27.69,MEDIUM,5.0,288.0,264.0,244.0,280.0,43.143,1.9373
Singapore,2023,BOT,Alfa Romeo,46.0,98.979,28.812,42.016,28.151,MEDIUM,6.0,285.0,259.0,243.0,279.0,43.222,1.8572
Singapore,2023,BOT,Alfa Romeo,47.0,98.729,28.989,42.115,27.625,MEDIUM,7.0,282.0,257.0,246.0,277.0,43.364,1.4836
Singapore,2023,BOT,Alfa Romeo,48.0,98.573,28.874,41.974,27.725,MEDIUM,8.0,283.0,258.0,246.0,278.0,43.106,0.2834
Singapore,2023,BOT,Alfa Romeo,49.0,98.525,29.055,41.796,27.674,MEDIUM,9.0,283.0,258.0,245.0,277.0,43.32,0.245
Singapore,2023,BOT,Alfa Romeo,50.0,98.092,28.799,41.705,27.588,MEDIUM,10.0,284.0,259.0,246.0,278.0,43.278,0.325
Singapore,2023,BOT,Alfa Romeo,51.0,98.075,28.693,41.797,27.585,MEDIUM,11.0,286.0,260.0,246.0,280.0,43.241,0.2976
Singapore,2023,GAS,Alpine,2.0,102.353,29.97,43.39,28.993,MEDIUM,2.0,277.0,263.0,243.0,277.0,43.717,
Singapore,2023,GAS,Alpine,3.0,101.442,29.493,43.116,28.833,MEDIUM,3.0,300.0,267.0,242.0,275.0,43.575,
Singapore,2023,GAS,Alpine,4.0,101.334,29.317,43.488,28.529,MEDIUM,4.0,288.0,265.0,245.0,289.0,43.796,0.5598
Singapore,2023,GAS,Alpine,5.0,101.292,29.195,43.501,28.596,MEDIUM,5.0,293.0,265.0,244.0,288.0,43.011,0.5025
Singapore,2023,GAS,Alpine,6.0,101.829,29.128,44.03,28.671,MEDIUM,6.0,289.0,267.0,245.0,290.0,43.546,0.4465
Singapore,2023,GAS,Alpine,7.0,101.399,29.472,43.406,28.521,MEDIUM,7.0,299.0,264.0,242.0,293.0,43.88,0.2147
Singapore,2023,GAS,Alpine,8.0,100.677,29.236,43.149,28.292,MEDIUM,8.0,296.0,265.0,245.0,289.0,43.691,0.4119
Singapore,2023,GAS,Alpine,9.0,101.063,29.148,43.382,28.533,MEDIUM,9.0,298.0,266.0,235.0,290.0,43.829,0.425
Singapore,2023,GAS,Alpine,10.0,100.378,29.07,43.027,28.281,MEDIUM,10.0,303.0,268.0,246.0,287.0,43.622,0.574
Singapore,2023,GAS,Alpine,11.0,100.728,29.165,43.348,28.215,MEDIUM,11.0,304.0,266.0,244.0,293.0,43.877,0.3919
Singapore,2023,GAS,Alpine,12.0,100.439,29.013,43.135,28.291,MEDIUM,12.0,302.0,267.0,244.0,291.0,43.842,0.2719
Singapore,2023,GAS,Alpine,13.0,100.829,29.167,43.354,28.308,MEDIUM,13.0,303.0,267.0,245.0,291.0,43.401,0.2829
Singapore,2023,GAS,Alpine,14.0,100.627,28.995,43.371,28.261,MEDIUM,14.0,307.0,268.0,243.0,292.0,43.418,0.1902
Singapore,2023,GAS,Alpine,15.0,100.602,29.043,43.354,28.205,MEDIUM,15.0,305.0,267.0,245.0,291.0,43.933,0.1461
Singapore,2023,GAS,Alpine,16.0,100.929,29.386,43.401,28.142,MEDIUM,16.0,303.0,266.0,245.0,293.0,43.22,0.1943
Singapore,2023,GAS,Alpine,17.0,100.673,29.197,43.202,28.274,MEDIUM,17.0,302.0,267.0,243.0,292.0,43.619,0.1411
Singapore,2023,GAS,Alpine,18.0,100.866,29.2,43.405,28.261,MEDIUM,18.0,305.0,267.0,245.0,292.0,43.761,0.1482
Singapore,2023,GAS,Alpine,19.0,101.061,29.275,43.497,28.289,MEDIUM,19.0,303.0,267.0,243.0,292.0,43.195,0.1878
Singapore,2023,GAS,Alpine,23.0,103.344,29.32,44.439,29.585,HARD,3.0,297.0,266.0,242.0,285.0,43.39,1.1098
Singapore,2023,GAS,Alpine,24.0,102.407,29.448,44.111,28.848,HARD,4.0,291.0,259.0,246.0,282.0,43.608,1.1572
Singapore,2023,GAS,Alpine,25.0,101.048,29.149,43.468,28.431,HARD,5.0,303.0,268.0,245.0,284.0,43.448,1.0864
Singapore,2023,GAS,Alpine,26.0,100.92,28.963,43.437,28.52,HARD,6.0,308.0,271.0,247.0,292.0,43.523,1.0757
Singapore,2023,GAS,Alpine,27.0,100.396,29.014,43.193,28.189,HARD,7.0,315.0,269.0,246.0,295.0,44.107,1.2152
Singapore,2023,GAS,Alpine,28.0,101.536,28.824,43.985,28.727,HARD,8.0,307.0,270.0,249.0,295.0,43.933,0.7581
