Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Race,Season
0 days 01:23:10.346000,25.1,50.0,1008.2,False,41.0,74,1.1,Azerbaijan,2023
0 days 01:24:10.345000,25.0,50.0,1008.2,False,40.9,26,1.2,Azerbaijan,2023
0 days 01:25:10.375000,24.8,51.0,1008.2,False,41.0,260,1.3,Azerbaijan,2023
0 days 01:26:10.374000,24.8,51.0,1008.2,False,41.0,343,1.2,Azerbaijan,2023
0 days 01:27:10.373000,24.8,51.0,1008.2,False,41.0,343,1.2,Azerbaijan,2023
0 days 01:28:10.387000,24.9,50.0,1008.0,False,41.0,226,1.2,Azerbaijan,2023
0 days 01:29:10.402000,25.0,50.0,1008.0,False,41.7,234,1.0,Azerbaijan,2023
0 days 01:30:10.401000,25.1,49.0,1008.0,False,42.5,64,0.8,Azerbaijan,2023
0 days 01:31:10.415000,25.1,49.0,1008.0,False,42.8,52,1.8,Azerbaijan,2023
0 days 01:32:10.414000,25.1,49.0,1008.0,False,43.0,34,2.0,Azerbaijan,2023
0 days 01:33:10.444000,25.0,48.0,1008.0,False,43.0,48,0.5,Azerbaijan,2023
0 days 01:34:10.443000,25.0,48.0,1008.0,False,42.5,47,1.2,Azerbaijan,2023
0 days 01:35:10.442000,25.1,48.0,1008.0,False,42.5,182,1.2,Azerbaijan,2023
0 days 01:36:10.441000,25.1,48.0,1008.0,False,42.6,65,1.0,Azerbaijan,2023
0 days 01:37:10.440000,25.1,48.0,1008.0,False,42.6,218,1.0,Azerbaijan,2023
0 days 01:38:10.439000,25.1,48.0,1008.0,False,42.0,290,1.3,Azerbaijan,2023
0 days 01:39:10.453000,25.2,48.0,1008.2,False,41.9,263,1.3,Azerbaijan,2023
0 days 01:40:10.452000,25.2,48.0,1008.2,False,41.2,0,1.0,Azerbaijan,2023
0 days 01:41:10.467000,25.3,48.0,1008.2,False,41.0,36,0.6,Azerbaijan,2023
0 days 01:42:10.466000,25.4,47.0,1008.2,False,41.0,48,0.6,Azerbaijan,2023
0 days 01:43:10.465000,25.4,48.0,1008.2,False,40.8,343,1.0,Azerbaijan,2023
0 days 01:44:10.464000,25.4,48.0,1008.2,False,40.8,0,1.0,Azerbaijan,2023
0 days 01:45:10.478000,25.4,47.0,1008.2,False,41.4,83,0.0,Azerbaijan,2023
0 days 01:46:10.461000,25.5,48.0,1008.4,False,40.6,16,1.2,Azerbaijan,2023
0 days 01:47:10.460000,25.4,48.0,1008.2,False,40.3,301,0.8,Azerbaijan,2023
0 days 01:48:10.475000,25.3,48.0,1008.2,False,40.4,95,1.2,Azerbaijan,2023
0 days 01:49:10.474000,25.3,48.0,1008.4,False,40.9,56,1.3,Azerbaijan,2023
0 days 01:50:10.473000,25.3,47.0,1008.2,False,40.9,66,1.2,Azerbaijan,2023
0 days 01:51:10.472000,25.4,48.0,1008.4,False,40.5,28,0.6,Azerbaijan,2023
0 days 01:52:10.471000,25.5,48.0,1008.2,False,40.5,62,1.6,Azerbaijan,2023
0 days 01:53:10.469000,25.6,48.0,1008.2,False,40.5,102,1.2,Azerbaijan,2023
0 days 01:54:10.468000,25.5,48.0,1008.4,False,40.5,0,0.8,Azerbaijan,2023
