Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,Stint,PitInTime_s,PitOutTime_s,Position,TrackStatus,IsAccurate,FreshTyre,FuelLoad_kg,FuelCorrection_s,SpeedI1,SpeedI2,SpeedFL,SpeedST
Azerbaijan,2023,NOR,McLaren,29.0,107.445,38.357,43.755,25.333,HARD,20.0,2.0,,,11.0,1,True,True,63.6,1.908,186.0,201.0,335.0,322.0
Azerbaijan,2023,NOR,McLaren,30.0,107.449,38.224,43.88,25.345,HARD,21.0,2.0,,,11.0,1,True,True,62.0,1.86,184.0,201.0,335.0,323.0
Azerbaijan,2023,NOR,McLaren,31.0,107.388,38.251,43.766,25.371,HARD,22.0,2.0,,,11.0,1,True,True,60.4,1.812,192.0,206.0,334.0,323.0
Azerbaijan,2023,NOR,McLaren,32.0,107.17,38.122,43.668,25.38,HARD,23.0,2.0,,,11.0,1,True,True,58.8,1.764,191.0,207.0,335.0,321.0
Azerbaijan,2023,NOR,McLaren,33.0,107.241,38.168,43.805,25.268,HARD,24.0,2.0,,,11.0,1,True,True,57.2,1.716,187.0,206.0,335.0,322.0
Azerbaijan,2023,NOR,McLaren,34.0,107.1,38.193,43.616,25.291,HARD,25.0,2.0,,,11.0,1,True,True,55.6,1.668,190.0,203.0,335.0,321.0
Azerbaijan,2023,NOR,McLaren,35.0,106.741,37.85,43.631,25.26,HARD,26.0,2.0,,,11.0,1,True,True,54.0,1.62,192.0,201.0,337.0,323.0
Azerbaijan,2023,NOR,McLaren,36.0,107.354,38.325,43.748,25.281,HARD,27.0,2.0,,,11.0,1,True,True,52.4,1.572,192.0,204.0,336.0,323.0
Azerbaijan,2023,NOR,McLaren,37.0,106.896,38.054,43.584,25.258,HARD,28.0,2.0,,,11.0,1,True,True,50.8,1.524,194.0,208.0,335.0,322.0
Azerbaijan,2023,NOR,McLaren,38.0,106.685,37.97,43.413,25.302,HARD,29.0,2.0,,,11.0,1,True,True,49.2,1.476,192.0,199.0,335.0,323.0
Azerbaijan,2023,NOR,McLaren,39.0,106.898,38.114,43.515,25.269,HARD,30.0,2.0,,,11.0,1,True,True,47.6,1.428,193.0,200.0,336.0,322.0
Azerbaijan,2023,NOR,McLaren,40.0,106.937,38.089,43.608,25.24,HARD,31.0,2.0,,,11.0,1,True,True,46.0,1.38,195.0,206.0,335.0,323.0
Azerbaijan,2023,NOR,McLaren,41.0,106.863,37.9,43.681,25.282,HARD,32.0,2.0,,,11.0,1,True,True,44.4,1.332,193.0,202.0,333.0,323.0
Azerbaijan,2023,NOR,McLaren,42.0,106.641,37.919,43.464,25.258,HARD,33.0,2.0,,,11.0,1,True,True,42.8,1.284,197.0,207.0,330.0,324.0
Azerbaijan,2023,NOR,McLaren,43.0,106.932,38.18,43.656,25.096,HARD,34.0,2.0,,,11.0,1,True,True,41.2,1.236,190.0,200.0,341.0,325.0
Azerbaijan,2023,NOR,McLaren,44.0,107.27,38.558,43.575,25.137,HARD,35.0,2.0,,,11.0,1,True,True,39.6,1.188,195.0,202.0,332.0,324.0
Azerbaijan,2023,NOR,McLaren,45.0,107.741,38.226,43.941,25.574,HARD,36.0,2.0,,,10.0,1,True,True,38.0,1.14,198.0,209.0,315.0,318.0
Azerbaijan,2023,NOR,McLaren,46.0,106.134,37.773,42.928,25.433,HARD,37.0,2.0,,,10.0,1,True,True,36.4,1.092,205.0,214.0,318.0,318.0
Azerbaijan,2023,NOR,McLaren,47.0,106.188,37.544,43.241,25.403,HARD,38.0,2.0,,,10.0,1,True,True,34.8,1.044,210.0,212.0,319.0,318.0
Azerbaijan,2023,NOR,McLaren,48.0,106.197,37.85,42.907,25.44,HARD,39.0,2.0,,,10.0,12,True,True,33.2,0.996,206.0,211.0,320.0,318.0
Azerbaijan,2023,NOR,McLaren,49.0,105.738,37.591,42.771,25.376,HARD,40.0,2.0,,,10.0,1,True,True,31.6,0.948,202.0,211.0,318.0,319.0
Azerbaijan,2023,NOR,McLaren,50.0,106.056,37.608,43.108,25.34,HARD,41.0,2.0,,,9.0,1,True,True,30.0,0.9,207.0,215.0,319.0,321.0
Azerbaijan,2023,NOR,McLaren,51.0,106.397,37.71,43.187,25.5,HARD,42.0,2.0,,,9.0,1,True,True,28.4,0.852,210.0,220.0,317.0,319.0
Azerbaijan,2023,HAM,Mercedes,1.0,113.406,,43.889,25.759,MEDIUM,1.0,1.0,,,5.0,12,False,True,108.4,3.252,194.0,212.0,321.0,315.0
Azerbaijan,2023,HAM,Mercedes,2.0,108.165,38.632,43.752,25.781,MEDIUM,2.0,1.0,,,5.0,1,True,True,106.8,3.204,181.0,205.0,320.0,317.0
Azerbaijan,2023,HAM,Mercedes,3.0,107.602,38.197,43.76,25.645,MEDIUM,3.0,1.0,,,5.0,1,True,True,105.2,3.156,191.0,206.0,338.0,319.0
Azerbaijan,2023,HAM,Mercedes,4.0,107.76,38.228,43.985,25.547,MEDIUM,4.0,1.0,,,5.0,1,True,True,103.6,3.108,196.0,206.0,339.0,318.0
Azerbaijan,2023,HAM,Mercedes,5.0,107.791,38.273,44.095,25.423,MEDIUM,5.0,1.0,,,5.0,1,True,True,102.0,3.06,194.0,205.0,339.0,319.0
Azerbaijan,2023,HAM,Mercedes,6.0,107.916,38.45,43.865,25.601,MEDIUM,6.0,1.0,,,5.0,1,True,True,100.4,3.012,192.0,209.0,337.0,319.0
Azerbaijan,2023,HAM,Mercedes,7.0,107.816,38.36,43.769,25.687,MEDIUM,7.0,1.0,,,5.0,1,True,True,98.8,2.964,192.0,210.0,324.0,318.0
Azerbaijan,2023,HAM,Mercedes,8.0,107.929,38.502,43.647,25.78,MEDIUM,8.0,1.0,,,5.0,1,True,True,97.2,2.916,198.0,213.0,323.0,318.0
Azerbaijan,2023,HAM,Mercedes,9.0,113.178,39.468,44.028,29.682,MEDIUM,9.0,1.0,4762.287,,7.0,1,False,True,95.6,2.868,196.0,218.0,,315.0
Azerbaijan,2023,HAM,Mercedes,10.0,131.469,55.115,44.809,31.545,HARD,1.0,2.0,,4782.6,11.0,124,False,True,94.0,2.82,191.0,203.0,47.0,335.0
Azerbaijan,2023,HAM,Mercedes,11.0,149.985,53.969,58.99,37.026,HARD,2.0,2.0,,,11.0,4,False,True,92.4,2.772,116.0,146.0,277.0,222.0
