Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,SpeedI1,SpeedI2,SpeedFL,SpeedST,ThrottleStd,LapConsistency_5
British,2023,ALO,Aston Martin,50.0,91.999,29.339,37.108,25.552,SOFT,20.0,303.0,260.0,249.0,305.0,40.149,0.5621
British,2023,ALO,Aston Martin,51.0,91.93,29.321,37.031,25.578,SOFT,21.0,301.0,261.0,249.0,301.0,39.661,0.2918
British,2023,ALO,Aston Martin,52.0,91.711,29.243,36.974,25.494,SOFT,22.0,303.0,260.0,249.0,304.0,39.963,0.297
British,2023,BOT,Alfa Romeo,2.0,96.741,30.424,39.379,26.938,HARD,2.0,304.0,252.0,242.0,299.0,41.234,
British,2023,BOT,Alfa Romeo,3.0,94.865,29.844,38.861,26.16,HARD,3.0,314.0,255.0,244.0,322.0,41.448,
British,2023,BOT,Alfa Romeo,4.0,94.611,29.847,38.703,26.061,HARD,4.0,307.0,254.0,245.0,318.0,41.36,1.1634
British,2023,BOT,Alfa Romeo,5.0,94.804,29.766,38.804,26.234,HARD,5.0,308.0,254.0,245.0,317.0,41.678,0.9964
British,2023,BOT,Alfa Romeo,6.0,94.791,30.046,38.444,26.301,HARD,6.0,288.0,253.0,245.0,298.0,39.821,0.8875
British,2023,BOT,Alfa Romeo,7.0,94.879,29.863,38.733,26.283,HARD,7.0,304.0,255.0,245.0,316.0,41.213,0.107
British,2023,BOT,Alfa Romeo,8.0,94.476,29.875,38.578,26.023,HARD,8.0,303.0,255.0,245.0,312.0,41.222,0.1647
British,2023,BOT,Alfa Romeo,9.0,94.386,29.954,38.344,26.088,HARD,9.0,288.0,252.0,245.0,299.0,40.186,0.2205
British,2023,BOT,Alfa Romeo,10.0,94.306,30.015,38.203,26.088,HARD,10.0,287.0,253.0,245.0,297.0,39.64,0.2533
British,2023,BOT,Alfa Romeo,11.0,94.354,29.9,38.383,26.071,HARD,11.0,288.0,252.0,245.0,297.0,40.852,0.2314
British,2023,BOT,Alfa Romeo,12.0,94.541,30.094,38.281,26.166,HARD,12.0,287.0,252.0,245.0,291.0,40.627,0.0949
British,2023,BOT,Alfa Romeo,13.0,94.618,30.119,38.272,26.227,HARD,13.0,283.0,252.0,245.0,288.0,40.574,0.1324
British,2023,BOT,Alfa Romeo,14.0,94.604,30.215,38.253,26.136,HARD,14.0,283.0,252.0,246.0,293.0,39.994,0.1451
British,2023,BOT,Alfa Romeo,15.0,94.627,30.331,38.191,26.105,HARD,15.0,283.0,252.0,246.0,293.0,40.865,0.114
British,2023,BOT,Alfa Romeo,16.0,94.367,30.152,38.057,26.158,HARD,16.0,283.0,252.0,247.0,292.0,40.559,0.1084
British,2023,BOT,Alfa Romeo,17.0,93.867,30.111,37.712,26.044,HARD,17.0,284.0,253.0,245.0,293.0,40.349,0.3258
British,2023,BOT,Alfa Romeo,18.0,93.749,30.055,37.711,25.983,HARD,18.0,284.0,254.0,247.0,293.0,40.228,0.4119
British,2023,BOT,Alfa Romeo,19.0,93.73,30.048,37.742,25.94,HARD,19.0,284.0,253.0,248.0,298.0,40.308,0.4057
British,2023,BOT,Alfa Romeo,20.0,93.671,29.995,37.645,26.031,HARD,20.0,284.0,252.0,247.0,294.0,40.39,0.2831
British,2023,BOT,Alfa Romeo,21.0,93.607,29.996,37.774,25.837,HARD,21.0,284.0,253.0,248.0,297.0,39.661,0.097
British,2023,BOT,Alfa Romeo,22.0,93.468,29.936,37.631,25.901,HARD,22.0,284.0,254.0,247.0,296.0,39.677,0.1135
British,2023,BOT,Alfa Romeo,23.0,93.787,30.029,37.836,25.922,HARD,23.0,285.0,253.0,247.0,296.0,39.994,0.123
British,2023,BOT,Alfa Romeo,24.0,93.464,29.834,37.764,25.866,HARD,24.0,285.0,253.0,247.0,300.0,40.701,0.1378
British,2023,BOT,Alfa Romeo,25.0,93.292,29.892,37.622,25.778,HARD,25.0,283.0,254.0,247.0,295.0,40.015,0.1848
British,2023,BOT,Alfa Romeo,26.0,93.47,29.981,37.671,25.818,HARD,26.0,283.0,253.0,247.0,294.0,40.197,0.1794
British,2023,BOT,Alfa Romeo,27.0,93.588,29.999,37.771,25.818,HARD,27.0,284.0,254.0,248.0,296.0,39.454,0.1827
British,2023,BOT,Alfa Romeo,28.0,93.5,29.9,37.79,25.81,HARD,28.0,284.0,250.0,248.0,293.0,40.023,0.1076
British,2023,BOT,Alfa Romeo,29.0,93.351,30.0,37.592,25.759,HARD,29.0,284.0,255.0,249.0,293.0,40.349,0.1186
British,2023,BOT,Alfa Romeo,30.0,93.367,29.967,37.72,25.68,HARD,30.0,283.0,255.0,248.0,294.0,40.625,0.0981
British,2023,BOT,Alfa Romeo,31.0,93.44,29.976,37.764,25.7,HARD,31.0,282.0,255.0,248.0,294.0,39.731,0.0979
British,2023,BOT,Alfa Romeo,39.0,92.618,29.365,37.584,25.669,SOFT,7.0,303.0,258.0,251.0,312.0,40.674,0.3612
