Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Race,Season
0 days 01:37:12.521000,20.2,64.0,1001.4,False,29.6,204,2.5,British,2023
0 days 01:38:12.520000,20.2,63.0,1001.4,False,29.6,214,0.8,British,2023
0 days 01:39:12.535000,20.4,63.0,1001.4,False,29.7,202,1.3,British,2023
0 days 01:40:12.534000,20.4,62.0,1001.4,False,30.9,145,1.7,British,2023
0 days 01:41:12.521000,20.5,62.0,1001.4,False,31.4,240,1.1,British,2023
0 days 01:42:12.520000,20.5,63.0,1001.4,False,31.7,220,2.0,British,2023
0 days 01:43:12.534000,20.6,61.0,1001.4,False,32.4,225,2.4,British,2023
0 days 01:44:12.533000,20.8,62.0,1001.4,False,32.4,209,1.2,British,2023
0 days 01:45:12.532000,20.8,62.0,1001.4,False,32.8,192,2.2,British,2023
0 days 01:46:12.562000,20.9,61.0,1001.4,False,33.3,175,2.5,British,2023
0 days 01:47:12.530000,21.0,61.0,1001.4,False,33.3,212,1.6,British,2023
0 days 01:48:12.560000,21.0,61.0,1001.4,False,32.7,195,1.8,British,2023
0 days 01:49:12.528000,21.1,62.0,1001.2,False,32.4,207,3.0,British,2023
0 days 01:50:12.527000,21.0,62.0,1001.4,False,31.4,235,2.2,British,2023
0 days 01:51:12.541000,21.0,62.0,1001.2,False,31.4,197,2.5,British,2023
0 days 01:52:12.556000,21.0,63.0,1001.2,False,30.6,179,1.3,British,2023
0 days 01:53:12.571000,21.0,63.0,1001.2,False,30.6,226,1.2,British,2023
0 days 01:54:12.570000,21.0,63.0,1001.2,False,30.5,201,1.7,British,2023
0 days 01:55:12.600000,20.9,63.0,1001.2,False,30.5,246,1.3,British,2023
0 days 01:56:12.599000,20.9,62.0,1001.2,False,30.3,190,1.8,British,2023
0 days 01:57:12.613000,20.9,63.0,1001.2,False,30.1,238,1.1,British,2023
0 days 01:58:12.628000,21.0,62.0,1001.2,False,30.1,247,1.7,British,2023
0 days 01:59:12.627000,21.0,63.0,1001.2,False,30.1,236,1.3,British,2023
0 days 02:00:12.626000,20.8,63.0,1001.2,False,29.8,217,1.5,British,2023
0 days 02:01:12.640000,20.9,63.0,1001.2,False,29.7,256,2.0,British,2023
0 days 02:02:12.639000,20.9,63.0,1001.2,False,29.7,246,0.8,British,2023
0 days 02:03:12.654000,20.9,63.0,1001.0,False,29.4,218,1.2,British,2023
0 days 02:04:12.637000,20.9,63.0,1001.2,False,29.4,199,1.8,British,2023
0 days 02:05:12.636000,20.9,63.0,1001.0,False,29.7,188,0.8,British,2023
0 days 02:06:12.635000,20.9,64.0,1001.0,False,29.5,173,1.1,British,2023
0 days 02:07:12.634000,21.0,64.0,1001.2,False,29.3,201,1.2,British,2023
0 days 02:08:12.633000,21.0,63.0,1001.0,False,29.5,218,1.1,British,2023
0 days 02:09:12.632000,21.0,63.0,1001.0,False,29.7,230,1.5,British,2023
0 days 02:10:12.646000,21.1,62.0,1001.0,False,29.7,192,2.4,British,2023
0 days 02:11:12.645000,21.2,61.0,1001.0,False,29.9,192,1.0,British,2023
0 days 02:12:12.660000,21.3,62.0,1001.0,False,29.9,200,1.7,British,2023
0 days 02:13:12.674000,21.4,61.0,1001.0,False,30.7,177,1.7,British,2023
0 days 02:14:12.673000,21.4,57.0,1001.0,False,31.1,220,2.0,British,2023
0 days 02:15:12.688000,21.4,58.0,1001.0,False,30.9,215,2.2,British,2023
0 days 02:16:12.702000,21.4,57.0,1001.0,False,30.4,212,2.0,British,2023
0 days 02:17:12.717000,21.4,57.0,1001.0,False,30.3,186,3.0,British,2023
0 days 02:18:12.731000,21.4,58.0,1001.0,False,30.1,199,2.7,British,2023
0 days 02:19:12.715000,21.4,59.0,1001.0,False,30.0,192,2.4,British,2023
0 days 02:20:12.729000,21.5,58.0,1001.0,False,30.0,229,2.4,British,2023
0 days 02:21:12.713000,21.5,57.0,1001.0,False,29.9,184,3.2,British,2023
0 days 02:22:12.727000,21.5,54.0,1001.0,False,29.6,188,3.4,British,2023
0 days 02:23:12.757000,21.6,54.0,1000.9,False,29.6,200,4.3,British,2023
0 days 02:24:12.772000,21.6,54.0,1001.0,False,29.7,182,4.0,British,2023
0 days 02:25:12.771000,21.7,54.0,1001.0,False,30.2,203,3.7,British,2023
0 days 02:26:12.770000,21.8,53.0,1001.0,False,30.2,188,3.5,British,2023
0 days 02:27:12.769000,21.8,52.0,1001.0,False,29.8,193,4.8,British,2023
0 days 02:28:12.799000,21.8,53.0,1001.0,False,29.6,187,3.4,British,2023
0 days 02:29:12.767000,21.8,53.0,1000.9,False,29.4,208,3.0,British,2023
0 days 02:30:12.765000,21.8,53.0,1001.0,False,29.3,192,4.1,British,2023
