Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Race,Season
0 days 01:48:36.333000,29.8,40.0,1000.4,False,43.6,158,1.2,Italian,2023
0 days 01:49:36.333000,29.9,40.0,1000.4,False,44.3,201,0.8,Italian,2023
0 days 01:50:36.316000,30.0,39.0,1000.4,False,44.4,180,1.6,Italian,2023
0 days 01:51:36.331000,30.0,39.0,1000.2,False,44.3,82,1.2,Italian,2023
0 days 01:52:36.346000,30.0,39.0,1000.2,False,44.0,145,1.3,Italian,2023
0 days 01:53:36.330000,30.0,40.0,1000.2,False,43.7,134,1.7,Italian,2023
0 days 01:54:36.329000,29.9,41.0,1000.2,False,43.7,178,1.3,Italian,2023
0 days 01:55:36.344000,29.9,41.0,1000.2,False,43.6,210,1.5,Italian,2023
0 days 01:56:36.328000,29.9,41.0,1000.2,False,43.5,179,2.0,Italian,2023
0 days 01:57:36.327000,29.9,41.0,1000.4,False,43.5,177,1.7,Italian,2023
0 days 01:58:36.342000,29.8,40.0,1000.2,False,43.6,156,1.6,Italian,2023
0 days 01:59:36.326000,29.9,39.0,1000.2,False,43.4,153,1.7,Italian,2023
0 days 02:00:36.341000,29.9,40.0,1000.2,False,43.4,228,1.0,Italian,2023
0 days 02:01:36.340000,29.9,41.0,1000.2,False,43.0,174,1.2,Italian,2023
0 days 02:02:36.340000,29.9,41.0,1000.2,False,43.3,112,0.8,Italian,2023
0 days 02:03:36.355000,29.9,41.0,1000.2,False,42.9,163,1.0,Italian,2023
0 days 02:04:36.369000,29.7,42.0,1000.2,False,42.5,317,0.8,Italian,2023
0 days 02:05:36.369000,29.7,41.0,1000.2,False,42.5,190,1.2,Italian,2023
0 days 02:06:36.368000,29.8,42.0,1000.2,False,42.8,193,1.3,Italian,2023
0 days 02:07:36.367000,29.8,41.0,1000.4,False,42.6,136,1.1,Italian,2023
0 days 02:08:36.367000,29.9,41.0,1000.2,False,42.6,174,1.1,Italian,2023
0 days 02:09:36.366000,29.8,41.0,1000.4,False,42.4,242,1.3,Italian,2023
0 days 02:10:36.397000,29.8,42.0,1000.2,False,42.5,164,1.5,Italian,2023
0 days 02:11:36.412000,29.8,41.0,1000.2,False,42.6,232,0.8,Italian,2023
0 days 02:12:36.395000,29.8,41.0,1000.2,False,42.6,139,1.8,Italian,2023
0 days 02:13:36.379000,29.9,42.0,1000.2,False,42.5,196,1.2,Italian,2023
0 days 02:14:36.410000,30.0,43.0,1000.2,False,42.5,208,1.8,Italian,2023
0 days 02:15:36.425000,30.1,41.0,1000.2,False,42.5,171,1.5,Italian,2023
0 days 02:16:36.502000,30.0,40.0,1000.2,False,42.8,186,1.6,Italian,2023
0 days 02:17:36.486000,30.0,40.0,1000.2,False,42.8,145,1.1,Italian,2023
0 days 02:18:36.438000,30.0,40.0,1000.2,False,42.6,168,1.3,Italian,2023
0 days 02:19:36.438000,30.0,40.0,1000.4,False,42.8,205,1.7,Italian,2023
0 days 02:20:36.452000,30.1,41.0,1000.2,False,42.9,187,2.0,Italian,2023
0 days 02:21:36.467000,30.2,40.0,1000.2,False,42.9,190,1.8,Italian,2023
0 days 02:22:36.467000,30.3,39.0,1000.2,False,42.5,188,1.3,Italian,2023
0 days 02:23:36.466000,30.2,39.0,1000.2,False,42.5,168,1.6,Italian,2023
0 days 02:24:36.481000,30.1,39.0,1000.2,False,42.5,144,1.6,Italian,2023
0 days 02:25:36.480000,30.0,40.0,1000.2,False,41.7,334,0.8,Italian,2023
0 days 02:26:36.480000,30.0,40.0,1000.2,False,41.7,161,1.1,Italian,2023
0 days 02:27:36.479000,30.0,41.0,1000.2,False,41.6,181,1.5,Italian,2023
0 days 02:28:36.478000,30.0,41.0,1000.2,False,41.8,190,1.6,Italian,2023
0 days 02:29:36.493000,30.0,41.0,1000.2,False,41.2,176,1.1,Italian,2023
0 days 02:30:36.493000,30.1,41.0,1000.2,False,41.2,161,1.7,Italian,2023
0 days 02:31:36.508000,30.0,42.0,1000.2,False,41.2,157,1.2,Italian,2023
0 days 02:32:36.523000,30.0,41.0,1000.2,False,41.0,179,1.2,Italian,2023
0 days 02:33:36.537000,30.0,41.0,1000.2,False,40.8,152,1.6,Italian,2023
0 days 02:34:36.537000,30.0,41.0,1000.2,False,40.8,161,1.7,Italian,2023
0 days 02:42:36.609000,29.9,42.0,1000.2,False,39.3,260,1.1,Italian,2023
