Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,Stint,PitInTime_s,PitOutTime_s,Position,TrackStatus,IsAccurate,FreshTyre,FuelLoad_kg,FuelCorrection_s,SpeedI1,SpeedI2,SpeedFL,SpeedST
Italian,2023,GAS,Alpine,11.0,110.17,51.42,29.937,28.813,HARD,4.0,2.0,,5854.372,19.0,1,False,False,92.4,2.772,301.0,299.0,302.0,277.0
Italian,2023,GAS,Alpine,12.0,87.431,28.524,29.851,29.056,HARD,5.0,2.0,,,19.0,1,True,False,90.8,2.724,301.0,299.0,302.0,306.0
Italian,2023,GAS,Alpine,13.0,87.368,28.44,29.892,29.036,HARD,6.0,2.0,,,18.0,1,True,False,89.2,2.676,303.0,301.0,302.0,309.0
Italian,2023,GAS,Alpine,14.0,87.348,28.394,30.051,28.903,HARD,7.0,2.0,,,18.0,1,True,False,87.6,2.628,306.0,304.0,302.0,310.0
Italian,2023,GAS,Alpine,15.0,87.363,28.462,30.093,28.808,HARD,8.0,2.0,,,18.0,1,True,False,86.0,2.58,308.0,309.0,306.0,311.0
Italian,2023,GAS,Alpine,16.0,87.088,28.289,30.067,28.732,HARD,9.0,2.0,,,18.0,1,True,False,84.4,2.532,308.0,305.0,306.0,313.0
Italian,2023,GAS,Alpine,17.0,87.076,28.286,29.953,28.837,HARD,10.0,2.0,,,18.0,1,True,False,82.8,2.484,307.0,306.0,306.0,314.0
Italian,2023,GAS,Alpine,18.0,87.053,28.315,30.045,28.693,HARD,11.0,2.0,,,18.0,1,True,False,81.2,2.436,306.0,305.0,305.0,314.0
Italian,2023,GAS,Alpine,19.0,87.136,28.422,30.088,28.626,HARD,12.0,2.0,,,18.0,1,True,False,79.6,2.388,305.0,306.0,306.0,314.0
Italian,2023,GAS,Alpine,20.0,87.035,28.17,30.107,28.758,HARD,13.0,2.0,,,18.0,1,True,False,78.0,2.34,308.0,318.0,306.0,326.0
Italian,2023,GAS,Alpine,21.0,87.706,28.31,30.354,29.042,HARD,14.0,2.0,,,17.0,1,True,False,76.4,2.292,306.0,306.0,305.0,324.0
Italian,2023,GAS,Alpine,22.0,87.219,28.315,30.023,28.881,HARD,15.0,2.0,,,17.0,1,True,False,74.8,2.244,306.0,307.0,305.0,312.0
Italian,2023,GAS,Alpine,23.0,87.454,28.367,30.178,28.909,HARD,16.0,2.0,,,17.0,1,True,False,73.2,2.196,306.0,306.0,305.0,312.0
Italian,2023,GAS,Alpine,24.0,87.06,28.144,30.16,28.756,HARD,17.0,2.0,,,17.0,1,True,False,71.6,2.148,306.0,307.0,306.0,315.0
Italian,2023,GAS,Alpine,25.0,87.223,28.176,30.119,28.928,HARD,18.0,2.0,,,16.0,1,True,False,70.0,2.1,306.0,307.0,305.0,315.0
Italian,2023,GAS,Alpine,26.0,87.59,28.496,30.15,28.944,HARD,19.0,2.0,,,15.0,1,True,False,68.4,2.052,306.0,308.0,304.0,315.0
Italian,2023,GAS,Alpine,27.0,87.189,28.305,30.124,28.76,HARD,20.0,2.0,,,15.0,1,True,False,66.8,2.004,306.0,308.0,303.0,315.0
Italian,2023,GAS,Alpine,28.0,87.521,28.314,30.209,28.998,HARD,21.0,2.0,,,15.0,1,True,False,65.2,1.956,308.0,307.0,304.0,315.0
Italian,2023,GAS,Alpine,29.0,87.383,28.372,30.15,28.861,HARD,22.0,2.0,,,15.0,1,True,False,63.6,1.908,309.0,307.0,303.0,315.0
Italian,2023,GAS,Alpine,30.0,87.658,28.399,30.299,28.96,HARD,23.0,2.0,,,15.0,1,True,False,62.0,1.86,308.0,307.0,304.0,314.0
Italian,2023,GAS,Alpine,31.0,92.204,28.325,30.421,33.458,HARD,24.0,2.0,7688.289,,17.0,1,False,False,60.4,1.812,308.0,307.0,,315.0
Italian,2023,GAS,Alpine,32.0,106.72,48.486,29.732,28.502,MEDIUM,1.0,3.0,,7712.961,19.0,1,False,True,58.8,1.764,306.0,303.0,304.0,281.0
Italian,2023,GAS,Alpine,33.0,86.439,28.265,29.682,28.492,MEDIUM,2.0,3.0,,,19.0,1,True,True,57.2,1.716,303.0,303.0,305.0,310.0
Italian,2023,GAS,Alpine,34.0,86.877,28.208,29.857,28.812,MEDIUM,3.0,3.0,,,18.0,1,True,True,55.6,1.668,305.0,306.0,305.0,309.0
Italian,2023,GAS,Alpine,35.0,86.903,28.318,29.75,28.835,MEDIUM,4.0,3.0,,,18.0,1,True,True,54.0,1.62,304.0,304.0,303.0,311.0
Italian,2023,GAS,Alpine,36.0,86.797,28.373,29.719,28.705,MEDIUM,5.0,3.0,,,18.0,1,True,True,52.4,1.572,305.0,306.0,305.0,313.0
Italian,2023,GAS,Alpine,37.0,86.499,28.27,29.768,28.461,MEDIUM,6.0,3.0,,,18.0,1,True,True,50.8,1.524,305.0,306.0,307.0,312.0
Italian,2023,GAS,Alpine,38.0,86.357,28.251,29.614,28.492,MEDIUM,7.0,3.0,,,18.0,1,True,True,49.2,1.476,307.0,307.0,306.0,314.0
Italian,2023,GAS,Alpine,39.0,86.736,28.411,29.667,28.658,MEDIUM,8.0,3.0,,,17.0,1,True,True,47.6,1.428,306.0,307.0,305.0,312.0
Italian,2023,GAS,Alpine,40.0,86.548,28.22,29.656,28.672,MEDIUM,9.0,3.0,,,16.0,1,True,True,46.0,1.38,306.0,306.0,305.0,313.0
Italian,2023,GAS,Alpine,41.0,86.346,28.298,29.528,28.52,MEDIUM,10.0,3.0,,,16.0,1,True,True,44.4,1.332,306.0,308.0,305.0,312.0
Italian,2023,GAS,Alpine,42.0,86.425,28.346,29.611,28.468,MEDIUM,11.0,3.0,,,16.0,1,True,True,42.8,1.284,308.0,308.0,305.0,313.0
Italian,2023,GAS,Alpine,43.0,85.921,28.119,29.491,28.311,MEDIUM,12.0,3.0,,,16.0,1,True,True,41.2,1.236,307.0,310.0,307.0,315.0
Italian,2023,GAS,Alpine,44.0,85.758,28.058,29.469,28.231,MEDIUM,13.0,3.0,,,16.0,1,True,True,39.6,1.188,310.0,310.0,307.0,316.0
Italian,2023,GAS,Alpine,45.0,86.297,28.079,29.77,28.448,MEDIUM,14.0,3.0,,,16.0,1,True,True,38.0,1.14,310.0,310.0,307.0,316.0
Italian,2023,GAS,Alpine,46.0,86.292,28.121,29.695,28.476,MEDIUM,15.0,3.0,,,16.0,1,True,True,36.4,1.092,311.0,310.0,307.0,314.0
Italian,2023,GAS,Alpine,47.0,86.144,27.984,29.639,28.521,MEDIUM,16.0,3.0,,,16.0,1,True,True,34.8,1.044,310.0,311.0,308.0,316.0
Italian,2023,GAS,Alpine,48.0,86.288,28.078,29.805,28.405,MEDIUM,17.0,3.0,,,16.0,1,True,True,33.2,0.996,311.0,311.0,309.0,317.0
Italian,2023,GAS,Alpine,49.0,87.913,28.05,30.784,29.079,MEDIUM,18.0,3.0,,,16.0,1,True,True,31.6,0.948,311.0,325.0,311.0,322.0
Italian,2023,GAS,Alpine,50.0,87.375,28.252,30.016,29.107,MEDIUM,19.0,3.0,,,15.0,1,True,True,30.0,0.9,307.0,307.0,307.0,315.0
Italian,2023,GAS,Alpine,51.0,,,,,MEDIUM,20.0,3.0,,,,1,False,True,28.4,0.852,,,,
